Covering Dates & Week,Date of Vaccination,Total Vaccination Doses,Primary Vaccination,Received one dose,Total Booster doses,Total 2nd Booster doses,Omicron booster doses,Total Omicron booster doses
,24/09/2022,1335112,470779,477885,360201,60610,,
,25/09/2022,1335112,470779,477885,360201,60610,,
,26/09/2022,1335221,470809,477921,360232,60622,,
,27/09/2022,1335273,470824,477934,360250,60628,,
,28/09/2022,1335298,470829,477941,360256,60635,,
,29/09/2022,1335335,470836,477948,360266,60648,,
,30/09/2022,1335388,470845,477966,360286,60654,,
,01/10/2022,1335444,470854,477981,360315,60657,,
,02/10/2022,1335444,470854,477981,360315,60657,,
,03/10/2022,1335481,470861,477988,360329,60666,,
,04/10/2022,1335515,470868,477997,360337,60676,,
,05/10/2022,1335573,470878,478009,360351,60698,,
,06/10/2022,1335613,470888,478026,360358,60704,,
,07/10/2022,1335687,470917,478056,360368,60709,,
,08/10/2022,1335706,470924,478060,360374,60711,,
,09/10/2022,1335706,470924,478060,360374,60711,,
,10/10/2022,1335778,470943,478087,360391,60720,,
,11/10/2022,1335816,470950,478100,360400,60729,,
,12/10/2022,1335867,470962,478118,360418,60732,,
,13/10/2022,1335898,470965,478128,360432,60736,,
,14/10/2022,1335951,470978,478144,360451,60741,,
,15/10/2022,1335968,470982,478148,360460,60741,,
,16/10/2022,1335968,470982,478148,360460,60741,,
,17/10/2022,1336584,470996,478160,360520,61271,,
,18/10/2022,1337207,471004,478171,360543,61852,,
,19/10/2022,1337957,471019,478193,360583,62525,,
,20/10/2022,1338575,471031,478206,360612,63089,,
,21/10/2022,1339233,471038,478214,360632,63712,,
,22/10/2022,1339497,471041,478224,360640,63955,,
,23/10/2022,1339688,471045,478229,360644,64133,,
,24/10/2022,1340378,471051,478235,360668,64787,,
,25/10/2022,1340871,471053,478239,360682,65260,,
,26/10/2022,1341373,471058,478243,360721,65714,,
,27/10/2022,1341853,471066,478252,360753,66145,,
,28/10/2022,1342310,471068,478257,360765,66583,,
,29/10/2022,1342606,471080,478265,360779,66845,,
,30/10/2022,1342696,471083,478266,360780,66930,,
,31/10/2022,1343194,471085,478271,360805,67396,,
,01/11/2022,1343752,471090,478274,360838,67913,,
,02/11/2022,1344146,471097,478280,360872,68260,,
,03/11/2022,,471098,,na,na,,
,04/11/2022,,471115,,na,na,,
,05/11/2022,,471098,,na,na,,
,06/11/2022,1345046,471117,478303,360925,69082,,
,07/11/2022,1362417,471118,478304,360948,69475,474,16953
,08/11/2022,1363217,471124,478311,360974,69804,421,17385
,09/11/2022,1363880,471127,478314,360987,70077,324,17756
,10/11/2022,1364454,471133,478323,361002,70266,342,18111
,11/11/2022,1365030,471139,478326,361016,70520,292,18410
,12/11/2022,1365253,471144,478330,361023,70660,66,18477
,13/11/2022,1365380,471146,478330,361029,70737,42,18519
,14/11/2022,1366047,471149,478333,361048,71021,324,18877
,15/11/2022,1366594,471158,478341,361065,71226,265,19185
,16/11/2022,1367380,471162,478345,361075,71509,361,19670
,17/11/2022,1367903,471164,478352,361084,71701,312,19983
,18/11/2022,1368594,471169,478355,361107,71977,309,20367
,19/11/2022,1368799,471177,478362,361117,72086,71,20438
,20/11/2022,1368961,471177,478362,361143,72162,39,20498
,21/11/2022,1369465,471179,478366,361153,72380,235,20768
,22/11/2022,1370006,471191,478384,361170,72583,249,21059
,23/11/2022,1370451,471195,478393,361179,72742,263,21323
,24/11/2022,1370826,471201,478400,361188,72892,200,21526
,25/11/2022,1371335,471204,478401,361193,73120,256,21798
,26/11/2022,1371371,471206,478403,361196,73142,9,21805
,27/11/2022,1371383,471206,478403,361196,73147,8,21812
,28/11/2022,1371855,471208,478404,361213,73351,228,22060
,29/11/2022,1372092,471208,478404,361219,73464,118,22178
,30/11/2022,1372447,471219,478417,361231,73597,163,22364
,01/11/2022,1372894,471220,478417,361240,73771,238,22627
,02/12/2022,1373248,471233,478434,361254,73899,164,22809
,03/12/2022,1373294,471239,478442,361262,73916,7,22816
,04/12/2022,1373303,471241,478444,361264,73916,3,22819
,05/12/2022,1373656,471243,478446,361294,74066,169,22988
,06/12/2022,1373958,471244,478447,361301,74160,199,23187
,07/12/2022,1374238,471246,478449,361312,74279,146,23333
,08/12/2022,1374429,471246,478449,361312,74364,106,23439
,09/12/2022,1374710,471250,478453,361329,74471,149,23588
,10/12/2022,1374754,471252,478457,361334,74488,16,23604
,11/12/2022,1374793,471254,478457,361338,74495,26,23630
,12/12/2022,1374834,471255,478458,361345,74497,30,23660
,13/12/2022,1374836,471255,478459,361346,74497,0,23660
,14/12/2022,1375163,471259,478465,361350,74623,187,23847
,15/12/2022,1375243,471261,478467,361352,74657,40,23887
,16/12/2022,1375284,471267,478472,361356,74669,14,23901
,17/12/2022,1375388,471269,478481,361357,74680,81,23982
,18/12/2022,1375395,471271,478482,361359,74682,0,23982
,19/12/2022,1375727,471277,478487,361365,74821,176,24158
,20/12/2022,1375920,471283,478495,361370,74886,109,24267
,21/12/2022,1376068,471290,478503,361377,74930,82,24349
,22/12/2022,1376176,471295,478510,361384,74969,50,24399
,23/12/2022,1376203,471296,478518,361390,74972,9,24408
,24/12/2022,1376206,471297,478519,361391,74972,0,24408
,25/12/2022,1376206,471297,478519,361391,74972,0,24408
,26/12/2022,1376376,471299,478521,361395,74996,138,24546
,27/12/2022,1376722,471308,478530,361401,75127,191,24737
,28/12/2022,1376806,471317,478541,361420,75158,14,24751
,29/12/2022,1376872,471320,478544,361424,75184,30,24781
,30/12/2022,1376924,471326,478553,361432,75210,3,24784
,31/12/2022,1376966,471326,478553,361432,75213,39,24823
,01/01/2023,1376966,471326,478553,361432,75213,0,24823
,02/01/2023,1377032,471332,478560,361442,75230,26,24849
,03/01/2023,1377165,471333,478561,361450,75300,53,24902
,04/01/2023,1377291,471336,478567,361461,75353,53,24955
,05/01/2023,1377334,471337,478570,361462,75367,24,24979
,06/01/2023,1377388,471340,478576,361472,75390,12,24991
,07/01/2023,1377402,471340,478577,361474,75395,6,24997
,08/01/2023,1377417,471342,478580,361481,75398,0,24997
,09/01/2023,1377801,471344,478585,361484,75569,203,25200
,10/01/2023,1377887,471348,478590,361493,75594,43,25243
,11/01/2023,1378095,471350,478593,361498,75646,146,25389
,12/01/2023,1378341,471353,478599,361507,75750,124,25513
,13/01/2023,1378418,471361,478607,361514,75782,22,25535
,14/01/2023,1378464,471363,478609,361516,75786,36,25571
,15/01/2023,1378497,471364,478610,361518,75788,27,25598
,16/01/2023,1378529,471364,478613,361522,75803,10,25608
,17/01/2023,1378712,471366,478615,361524,75890,90,25698
,18/01/2023,1378731,471367,478617,361528,75895,7,25705
16/01-22/01 - Week 3,24/01/2023,1379238,471371,478620,361536,76057,464,26035
23/01-29/01 - Week 4,31/01/2023,1379551,471381,478633,361560,76184,139,26174
30/01-05/02 - Week 5,07/02/2023,1379745,471404,478663,361587,76323,66,26240
06/02-12/02 - Week 6,14/02/2023,1379917,471423,478677,361605,76275,78,26318
13/02-19/02 - Week 7,21/02/2023,1380226,471442,478695,361628,76347,177,26495
20/02-26/02 - Week 8,28/02/2023,1380343,471456,478717,361646,76368,42,26537
27/02-05/03 - Week 9,07/03/2023,1380487,471463,478721,361663,76396,82,26625
06/03-12/03 - Week 10,14/03/2023,1380583,471474,478733,361675,76430,27,26652
